date,admin,event,fatalities,latitude,longitude
2021-10-10,Abyan,Battles,0,13.8874,45.774
2021-09-30,Abyan,Battles,0,13.8874,45.774
2021-09-29,Abyan,Battles,0,13.8874,45.774
2021-09-29,Abyan,Battles,0,13.8828,45.8686
2021-09-27,Abyan,Riots,0,13.1287,45.3807
2021-09-25,Abyan,Explosions/Remote violence,10,13.35,45.6253
2021-09-23,Abyan,Battles,0,13.8874,45.774
2021-09-18,Abyan,Battles,1,13.9284,46.0825
2021-09-17,Abyan,Strategic developments,0,13.8874,45.774
2021-09-17,Abyan,Explosions/Remote violence,0,13.8828,45.8686
2021-09-16,Abyan,Battles,0,13.8874,45.774
2021-09-16,Abyan,Explosions/Remote violence,0,13.8828,45.8686
2021-09-15,Abyan,Strategic developments,0,13.8828,45.8686
2021-09-15,Abyan,Explosions/Remote violence,0,13.8828,45.8686
2021-09-15,Abyan,Battles,0,13.8828,45.8686
2021-09-14,Abyan,Protests,0,13.8828,45.8686
2021-09-13,Abyan,Protests,0,13.8828,45.8686
2021-09-13,Abyan,Battles,2,13.1287,45.3807
2021-09-12,Abyan,Protests,0,13.8828,45.8686
2021-09-05,Abyan,Battles,0,13.1287,45.3807
2021-09-03,Abyan,Battles,0,13.223,45.3056
2021-09-01,Abyan,Battles,2,13.8004,45.8862
2021-08-31,Abyan,Battles,1,13.434,46.1663
2021-08-31,Abyan,Strategic developments,0,13.8874,45.774
2021-08-31,Abyan,Protests,0,13.1287,45.3807
2021-08-28,Abyan,Strategic developments,0,13.8828,45.8686
2021-08-27,Abyan,Protests,0,13.9284,46.0825
2021-08-22,Abyan,Riots,0,13.8828,45.8686
2021-08-21,Abyan,Battles,0,13.35,45.6253
2021-08-20,Abyan,Protests,0,13.5608,46.1564
2021-08-17,Abyan,Violence against civilians,0,13.8828,45.8686
2021-08-16,Abyan,Protests,0,13.1287,45.3807
2021-08-14,Abyan,Battles,0,13.5202,46.7137
2021-08-13,Abyan,Protests,0,13.1287,45.3807
2021-08-12,Abyan,Explosions/Remote violence,0,13.8819,45.7993
2021-08-12,Abyan,Protests,0,13.1287,45.3807
2021-08-09,Abyan,Protests,0,13.1287,45.3807
2021-08-08,Abyan,Violence against civilians,1,13.8828,45.8686
2021-08-06,Abyan,Battles,0,13.1287,45.3807
2021-08-06,Abyan,Battles,0,13.0886,45.3647
2021-08-06,Abyan,Protests,0,13.1287,45.3807
2021-08-03,Abyan,Battles,0,13.8874,45.774
2021-08-02,Abyan,Protests,0,13.1287,45.3807
2021-08-01,Abyan,Battles,1,13.0886,45.3647
2021-07-30,Abyan,Protests,0,13.1287,45.3807
2021-07-28,Abyan,Battles,0,13.8496,45.4263
2021-07-27,Abyan,Battles,10,13.8874,45.774
2021-07-23,Abyan,Explosions/Remote violence,0,13.8496,45.4263
2021-07-22,Abyan,Battles,0,13.1287,45.3807
2021-07-21,Abyan,Battles,0,13.1287,45.3807
2021-07-20,Abyan,Battles,0,13.8874,45.774
2021-07-17,Abyan,Protests,0,14.0585,46.9133
2021-07-17,Abyan,Strategic developments,0,13.8496,45.4263
2021-07-13,Abyan,Violence against civilians,0,13.1287,45.3807
2021-07-11,Abyan,Violence against civilians,2,13.6497,45.7917
2021-07-10,Abyan,Strategic developments,0,13.1406,45.4533
2021-07-10,Abyan,Strategic developments,0,13.1822,45.477
2021-07-09,Abyan,Strategic developments,0,13.35,45.6253
2021-07-09,Abyan,Strategic developments,0,13.3568,45.6971
2021-07-07,Abyan,Protests,0,13.8828,45.8686
2021-07-06,Abyan,Battles,0,13.8874,45.774
2021-07-06,Abyan,Explosions/Remote violence,0,13.8828,45.8686
2021-07-04,Abyan,Explosions/Remote violence,2,13.9284,46.0825
2021-07-03,Abyan,Strategic developments,0,13.1116,45.424
2021-07-03,Abyan,Strategic developments,0,13.1822,45.477
2021-07-03,Abyan,Battles,3,13.8874,45.774
2021-07-02,Abyan,Explosions/Remote violence,0,13.8874,45.774
2021-07-02,Abyan,Battles,3,13.8828,45.8686
2021-07-02,Abyan,Explosions/Remote violence,0,13.8828,45.8686
2021-07-02,Abyan,Battles,0,13.2911,45.2958
2021-06-30,Abyan,Strategic developments,0,13.8828,45.8686
2021-06-26,Abyan,Battles,0,13.8874,45.774
2021-06-24,Abyan,Battles,0,13.8874,45.774
2021-06-24,Abyan,Explosions/Remote violence,0,13.8819,45.7993
2021-06-21,Abyan,Battles,0,13.5202,46.7137
2021-06-12,Abyan,Explosions/Remote violence,0,13.8874,45.774
2021-06-12,Abyan,Strategic developments,0,13.223,45.3056
2021-06-12,Abyan,Strategic developments,0,13.1406,45.4533
2021-06-12,Abyan,Strategic developments,0,13.1287,45.3807
2021-06-11,Abyan,Battles,0,13.8828,45.8686
2021-06-11,Abyan,Explosions/Remote violence,7,13.1287,45.3807
2021-06-09,Abyan,Strategic developments,0,13.1287,45.3807
2021-06-05,Abyan,Battles,0,13.8141,45.9284
2021-06-02,Abyan,Strategic developments,0,13.3568,45.6971
2021-06-01,Abyan,Protests,0,13.1406,45.4533
2021-05-30,Abyan,Violence against civilians,0,13.8828,45.8686
2021-05-26,Abyan,Explosions/Remote violence,0,13.8805,45.8554
2021-05-25,Abyan,Explosions/Remote violence,0,13.3568,45.6971
2021-05-24,Abyan,Strategic developments,0,13.3568,45.6971
2021-05-24,Abyan,Protests,0,13.1287,45.3807
2021-05-21,Abyan,Protests,0,13.9284,46.0825
2021-05-21,Abyan,Protests,0,13.8828,45.8686
2021-05-19,Abyan,Battles,0,13.8779,45.9387
2021-05-19,Abyan,Protests,0,13.223,45.3056
2021-05-18,Abyan,Strategic developments,0,13.35,45.6253
