year,month,admin,category,commodity,price,usdprice
2016,7,Abyan,cereals and tubers,Potatoes,263.0,1.0516
2016,7,Abyan,cereals and tubers,Rice (imported),400.0,1.5994
2016,7,Abyan,cereals and tubers,Wheat,143.0,0.5718
2016,7,Abyan,cereals and tubers,Wheat flour,172.0,0.6877
2016,7,Abyan,"meat, fish and eggs",Eggs,30.0,0.12
2016,7,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",32500.0,129.9514
2016,7,Abyan,miscellaneous food,Salt,100.0,0.3999
2016,7,Abyan,miscellaneous food,Sugar,256.0,1.0236
2016,7,Abyan,non-food,Exchange rate (unofficial),272.5,1.0896
2016,7,Abyan,non-food,Fuel (diesel),265.0,1.0596
2016,7,Abyan,non-food,Fuel (gas),3625.0,14.4946
2016,7,Abyan,non-food,Fuel (petrol-gasoline),310.0,1.2395
2016,7,Abyan,non-food,Milling cost (wheat),1250.0,4.9981
2016,7,Abyan,non-food,Wage (non-qualified labour),1938.0,7.7491
2016,7,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2016,7,Abyan,oil and fats,Oil (vegetable),385.0,1.5394
2016,7,Abyan,pulses and nuts,Beans (kidney red),478.0,1.9113
2016,7,Abyan,pulses and nuts,Beans (white),350.0,1.3995
2016,7,Abyan,pulses and nuts,Lentils,600.0,2.3991
2016,7,Abyan,vegetables and fruits,Onions,208.0,0.8317
2016,7,Abyan,vegetables and fruits,Tomatoes,300.0,1.1996
2016,8,Abyan,cereals and tubers,Potatoes,250.0,0.9996
2016,8,Abyan,cereals and tubers,Rice (imported),400.0,1.5994
2016,8,Abyan,cereals and tubers,Wheat,150.0,0.5998
2016,8,Abyan,cereals and tubers,Wheat flour,150.0,0.5998
2016,8,Abyan,"meat, fish and eggs",Eggs,35.0,0.1399
2016,8,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",27250.0,108.9593
2016,8,Abyan,miscellaneous food,Salt,100.0,0.3999
2016,8,Abyan,miscellaneous food,Sugar,250.0,0.9996
2016,8,Abyan,non-food,Exchange rate (unofficial),271.25,1.0846
2016,8,Abyan,non-food,Fuel (diesel),193.0,0.7717
2016,8,Abyan,non-food,Fuel (gas),2950.0,11.7956
2016,8,Abyan,non-food,Fuel (petrol-gasoline),185.0,0.7397
2016,8,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2016,8,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2016,8,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2016,8,Abyan,oil and fats,Oil (vegetable),313.0,1.2515
2016,8,Abyan,pulses and nuts,Beans (kidney red),400.0,1.5994
2016,8,Abyan,pulses and nuts,Beans (white),350.0,1.3995
2016,8,Abyan,pulses and nuts,Lentils,600.0,2.3991
2016,8,Abyan,pulses and nuts,"Peas (yellow, split)",450.0,1.7993
2016,8,Abyan,vegetables and fruits,Onions,213.0,0.8517
2016,8,Abyan,vegetables and fruits,Tomatoes,300.0,1.1996
2016,9,Abyan,cereals and tubers,Potatoes,300.0,1.1996
2016,9,Abyan,cereals and tubers,Rice (imported),375.0,1.4994
2016,9,Abyan,cereals and tubers,Wheat,150.0,0.5998
2016,9,Abyan,cereals and tubers,Wheat flour,150.0,0.5998
2016,9,Abyan,"meat, fish and eggs",Eggs,40.0,0.1599
2016,9,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",30000.0,119.9552
2016,9,Abyan,miscellaneous food,Salt,106.0,0.4238
2016,9,Abyan,miscellaneous food,Sugar,250.0,0.9996
2016,9,Abyan,non-food,Exchange rate (unofficial),275.0,1.0996
2016,9,Abyan,non-food,Fuel (diesel),165.0,0.6598
2016,9,Abyan,non-food,Fuel (gas),3000.0,11.9955
2016,9,Abyan,non-food,Fuel (petrol-gasoline),185.0,0.7397
2016,9,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2016,9,Abyan,non-food,Wage (non-qualified labour),1953.0,7.8091
2016,9,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2016,9,Abyan,oil and fats,Oil (vegetable),300.0,1.1996
2016,9,Abyan,pulses and nuts,Beans (kidney red),475.0,1.8993
2016,9,Abyan,pulses and nuts,Beans (white),350.0,1.3995
2016,9,Abyan,pulses and nuts,Lentils,550.0,2.1992
2016,9,Abyan,pulses and nuts,"Peas (yellow, split)",400.0,1.5994
2016,9,Abyan,vegetables and fruits,Onions,250.0,0.9996
2016,9,Abyan,vegetables and fruits,Tomatoes,350.0,1.3995
2016,10,Abyan,cereals and tubers,Potatoes,313.0,1.2515
2016,10,Abyan,cereals and tubers,Rice (imported),363.0,1.4515
2016,10,Abyan,cereals and tubers,Wheat,150.0,0.5998
2016,10,Abyan,cereals and tubers,Wheat flour,153.0,0.6118
2016,10,Abyan,"meat, fish and eggs",Eggs,41.0,0.1639
2016,10,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",26000.0,103.9611
2016,10,Abyan,miscellaneous food,Salt,144.0,0.5758
2016,10,Abyan,miscellaneous food,Sugar,250.0,0.9996
2016,10,Abyan,non-food,Exchange rate (unofficial),286.25,1.1446
2016,10,Abyan,non-food,Fuel (diesel),166.0,0.6638
2016,10,Abyan,non-food,Fuel (gas),3000.0,11.9955
2016,10,Abyan,non-food,Fuel (petrol-gasoline),185.0,0.7397
2016,10,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2016,10,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2016,10,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2016,10,Abyan,oil and fats,Oil (vegetable),300.0,1.1996
2016,10,Abyan,pulses and nuts,Beans (kidney red),500.0,1.9993
2016,10,Abyan,pulses and nuts,Beans (white),350.0,1.3995
2016,10,Abyan,pulses and nuts,Lentils,600.0,2.3991
2016,10,Abyan,pulses and nuts,"Peas (yellow, split)",418.0,1.6714
2016,10,Abyan,vegetables and fruits,Onions,288.0,1.1516
2016,10,Abyan,vegetables and fruits,Tomatoes,318.0,1.2715
2016,11,Abyan,cereals and tubers,Potatoes,300.0,1.1996
2016,11,Abyan,cereals and tubers,Rice (imported),368.0,1.4714
2016,11,Abyan,cereals and tubers,Wheat,152.0,0.6078
2016,11,Abyan,cereals and tubers,Wheat flour,164.0,0.6558
2016,11,Abyan,"meat, fish and eggs",Eggs,39.0,0.1559
2016,11,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",25000.0,99.9626
2016,11,Abyan,miscellaneous food,Salt,148.0,0.5918
2016,11,Abyan,miscellaneous food,Sugar,255.0,1.0196
2016,11,Abyan,non-food,Exchange rate (unofficial),290.0,1.1596
2016,11,Abyan,non-food,Fuel (diesel),166.0,0.6638
2016,11,Abyan,non-food,Fuel (gas),3000.0,11.9955
2016,11,Abyan,non-food,Fuel (petrol-gasoline),185.0,0.7397
2016,11,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2016,11,Abyan,non-food,Wage (non-qualified labour),3130.0,12.5153
2016,11,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2016,11,Abyan,oil and fats,Oil (vegetable),303.0,1.2115
2016,11,Abyan,pulses and nuts,Beans (kidney red),500.0,1.9993
2016,11,Abyan,pulses and nuts,Beans (white),350.0,1.3995
2016,11,Abyan,pulses and nuts,Lentils,518.0,2.0712
2016,11,Abyan,pulses and nuts,"Peas (yellow, split)",440.0,1.7593
2016,11,Abyan,vegetables and fruits,Onions,260.0,1.0396
2016,11,Abyan,vegetables and fruits,Tomatoes,303.0,1.2115
2016,12,Abyan,cereals and tubers,Potatoes,275.0,1.0996
2016,12,Abyan,cereals and tubers,Rice (imported),385.0,1.5394
2016,12,Abyan,cereals and tubers,Wheat,150.0,0.5998
2016,12,Abyan,cereals and tubers,Wheat flour,168.0,0.6717
2016,12,Abyan,"meat, fish and eggs",Eggs,39.0,0.1559
2016,12,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",25000.0,99.9626
2016,12,Abyan,miscellaneous food,Salt,100.0,0.3999
2016,12,Abyan,miscellaneous food,Sugar,265.0,1.0596
2016,12,Abyan,non-food,Exchange rate (unofficial),298.75,1.1946
2016,12,Abyan,non-food,Fuel (diesel),173.0,0.6917
2016,12,Abyan,non-food,Fuel (gas),3175.0,12.6953
2016,12,Abyan,non-food,Fuel (petrol-gasoline),190.0,0.7597
2016,12,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2016,12,Abyan,non-food,Wage (non-qualified labour),282.0,1.1276
2016,12,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2016,12,Abyan,oil and fats,Oil (vegetable),313.0,1.2515
2016,12,Abyan,pulses and nuts,Beans (kidney red),500.0,1.9993
2016,12,Abyan,pulses and nuts,Beans (white),350.0,1.3995
2016,12,Abyan,pulses and nuts,Lentils,550.0,2.1992
2016,12,Abyan,pulses and nuts,"Peas (yellow, split)",459.0,1.8353
2016,12,Abyan,vegetables and fruits,Onions,213.0,0.8517
2016,12,Abyan,vegetables and fruits,Tomatoes,125.0,0.4998
2017,1,Abyan,cereals and tubers,Potatoes,300.0,1.1996
2017,1,Abyan,cereals and tubers,Rice (imported),400.0,1.5994
2017,1,Abyan,cereals and tubers,Wheat,150.0,0.5998
2017,1,Abyan,cereals and tubers,Wheat flour,171.0,0.6837
2017,1,Abyan,"meat, fish and eggs",Eggs,39.0,0.1559
2017,1,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",27250.0,108.9593
2017,1,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,1,Abyan,miscellaneous food,Sugar,270.0,1.0796
2017,1,Abyan,non-food,Exchange rate (unofficial),310.0,1.2395
2017,1,Abyan,non-food,Fuel (diesel),165.0,0.6598
2017,1,Abyan,non-food,Fuel (gas),3000.0,11.9955
2017,1,Abyan,non-food,Fuel (petrol-gasoline),186.0,0.7437
2017,1,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2017,1,Abyan,non-food,Wage (non-qualified labour),313.0,1.2515
2017,1,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,1,Abyan,oil and fats,Oil (vegetable),348.0,1.3915
2017,1,Abyan,pulses and nuts,Beans (kidney red),538.0,2.1512
2017,1,Abyan,pulses and nuts,Beans (white),350.0,1.3995
2017,1,Abyan,pulses and nuts,Lentils,600.0,2.3991
2017,1,Abyan,pulses and nuts,"Peas (yellow, split)",459.0,1.8353
2017,1,Abyan,vegetables and fruits,Onions,238.0,0.9516
2017,1,Abyan,vegetables and fruits,Tomatoes,100.0,0.3999
2017,2,Abyan,cereals and tubers,Potatoes,238.0,0.9516
2017,2,Abyan,cereals and tubers,Rice (imported),413.0,1.6514
